track_uri,artist_uri
spotify:track:6tfb2ZH1L2snTmLQeqtMhZ,spotify:artist:3i67VvAwUlOKZa3fc75zs8
spotify:track:6WhzFzROw3aq3rPWjgYlxr,spotify:artist:4u5smJBskI6Adzv08PuiUP
spotify:track:7xJLSbbpCWhJnNGQqKfQVz,spotify:artist:7GMot9WvBYqhhJz92vhBp6
spotify:track:3HlMawlrt0QUY1Fynv4upQ,spotify:artist:1y07gMlsfAdz2KOvZzyUTB
spotify:track:0bTDn1Cg64Uhlt6rcXiX8B,spotify:artist:7o7mC95EDbJKTcPAAs8C3r
spotify:track:0bTDn1Cg64Uhlt6rcXiX8B,spotify:artist:4JkbrpoGIJGKuKZoQsWM0c
spotify:track:2HWjIxtutUbMoZxqG9hF3T,spotify:artist:0lY5QezejWWLy6PCEV9dMh
spotify:track:4b5zHcRQPBSTcT10PMHKEa,spotify:artist:2NQEwAVHBNcI0tGMLlWwF1
spotify:track:4b5zHcRQPBSTcT10PMHKEa,spotify:artist:2SlMPjZm02pC12ODpApdhB
spotify:track:7fPHfBCyKE3aVCBjE4DAvl,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
spotify:track:2ODONUUZLg7kyEoRIDJKv3,spotify:artist:4joXCMWD1t62KUedMCW17j
spotify:track:3IqwOIVNLdBs7av6n8Plrt,spotify:artist:3FLUBwpAnaIlIKeaBfsxFe
spotify:track:3IqwOIVNLdBs7av6n8Plrt,spotify:artist:5QuBVnBPEzwYvFrgBbwpmU
spotify:track:6cz1bXggDJYJaNuTQBtjsK,spotify:artist:04gDigrS5kc9YWfZHwBETP
spotify:track:1EzrEOXmMH3G43AXT1y7pA,spotify:artist:4phGZZrJZRo4ElhRtViYdl
spotify:track:773mzt4GHA1ogZvCZWWeGu,spotify:artist:1KP6TWI40m7p3QBTU6u2xo
spotify:track:4pdPtRcBmOSQDlJ3Fk945m,spotify:artist:540vIaP2JwjQb9dm3aArA4
spotify:track:4pdPtRcBmOSQDlJ3Fk945m,spotify:artist:1uNFoZAHBGtllmzznpCI3s
spotify:track:6r7FXNO57mlZCBY6PXcZZT,spotify:artist:6VD4UEUPvtsemqD3mmTqCR
spotify:track:57ef886Y0RQDGLm2jvmYEq,spotify:artist:1hzfo8twXdOegF3xireCYs
spotify:track:3xEqegrcyQtfhWeEMnDyCG,spotify:artist:4AGwPDdh1y8hochNzHy5HC
spotify:track:3xEqegrcyQtfhWeEMnDyCG,spotify:artist:5VsOThWOagH8C8gCvIy13k
spotify:track:4Li2WHPkuyCdtmokzW2007,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
spotify:track:4Li2WHPkuyCdtmokzW2007,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
spotify:track:39IsH7B5byx8NRlEKlZVg9,spotify:artist:0uGk2czvcpWQA383Im6ajf
spotify:track:39IsH7B5byx8NRlEKlZVg9,spotify:artist:0CEK8AzyeD5ZUdUloB6yQV
spotify:track:39IsH7B5byx8NRlEKlZVg9,spotify:artist:7DMveApC7UnC2NPfPvlHSU
spotify:track:2Wybz1kWZMjf4JCBikzHsl,spotify:artist:73tITL3u5T35u309PLpN6K
spotify:track:6k7RfqGLqaG6o4IpwjZWMs,spotify:artist:5w39eY1aNDybnDGTNgVt3r
spotify:track:6k7RfqGLqaG6o4IpwjZWMs,spotify:artist:1mU61l2mcjEFraXZLpvVMo
spotify:track:6k7RfqGLqaG6o4IpwjZWMs,spotify:artist:7mnuMLgvXdCWzyB4sQCG7k
spotify:track:68OXTyJ9zamVxFN0JEs6Oc,spotify:artist:1J9Z9bhqkgyqseEi85cbyx
spotify:track:2ZWlPOoWh0626oTaHrnl2a,spotify:artist:2h93pZq0e7k5yf4dywlkpM
spotify:track:7o4a4JCvZXGItFxDrUKr3P,spotify:artist:01e2lCvLZ4fLUIRy68nptH
spotify:track:7o4a4JCvZXGItFxDrUKr3P,spotify:artist:1A96iePIMNFBjLrjXEl718
spotify:track:7o4a4JCvZXGItFxDrUKr3P,spotify:artist:1yqxFtPHKcGcv6SXZNdyT9
spotify:track:5UwM1sOMvu3pdUzZwbPoHx,spotify:artist:2NQEwAVHBNcI0tGMLlWwF1
spotify:track:3ebXMykcMXOcLeJ9xZ17XH,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
spotify:track:3ebXMykcMXOcLeJ9xZ17XH,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
spotify:track:5LZQ5s0kRZS9nBSd1xLK7U,spotify:artist:4JMdvZoXArDVuMNNelKmjo
spotify:track:5LZQ5s0kRZS9nBSd1xLK7U,spotify:artist:3jaknADFL7EOn3lSRneM7v
spotify:track:5LZQ5s0kRZS9nBSd1xLK7U,spotify:artist:5CVsjwjuzUOrlEc2OJbUg4
spotify:track:2TY8WCR5gdOwsNOJuOeduG,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
spotify:track:5ZqJ1l9WQPUFlLVuemwScL,spotify:artist:041iTeoMIwXMlShuQPIVKo
spotify:track:2VdqFA92KJElddG9TYTyKz,spotify:artist:3D6CKTHC9H0bCujZmG9llH
spotify:track:2VdqFA92KJElddG9TYTyKz,spotify:artist:0VzoflxRgSVEWHYmCbMOJJ
spotify:track:6u4xZnL4W0YSLXw24k2zlJ,spotify:artist:6OqhFYFJDnBBHas02HopPT
spotify:track:5rk69gJhE4BqhDujVuDVRZ,spotify:artist:1bj5GrcLom5gZFF5t949Xl
spotify:track:17N0aRqDtnvic18Ql6jEqa,spotify:artist:6aZHwfhoXFdJJvZdijsmy7
spotify:track:17N0aRqDtnvic18Ql6jEqa,spotify:artist:6TXpsDRuGChXYJRfaIPTVH
spotify:track:3dhPpCQvw3kn7so6mkTbJ3,spotify:artist:1KpCi9BOfviCVhmpI4G2sY
spotify:track:3dhPpCQvw3kn7so6mkTbJ3,spotify:artist:0yq6uHIfFks9yOURUuCITV
spotify:track:62cr4T5CnlHhRVPLQQ3Var,spotify:artist:6xt9sJmmyYwWkJv8A6ssiU
spotify:track:62cr4T5CnlHhRVPLQQ3Var,spotify:artist:7vWFpgyWJ9CXisL0x6vYJN
spotify:track:159wbQ5j11xBszXYFym04u,spotify:artist:2mV8aJphiSHYJf43DxL7Gt
spotify:track:72ojun8ufF5Y0YzssmvVHL,spotify:artist:6jU2Tt13MmXYk0ZBv1KmfO
spotify:track:72ojun8ufF5Y0YzssmvVHL,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
spotify:track:4Q0dLjrGLPO2wqx1bkqBT9,spotify:artist:2fqeW1UtOlUpnobQYoRt5s
spotify:track:3gaQbhacVKwcsatM0FlSa9,spotify:artist:2a4lU7F8toqKpb5v6Ftqya
spotify:track:0p7sGeBn2cgu8DIqqPwDaY,spotify:artist:536BYVgOnRky0xjsPT96zl
spotify:track:0p7sGeBn2cgu8DIqqPwDaY,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
spotify:track:2BtXdx9jEpvoG0uaVZ15ed,spotify:artist:2xe8IXgCTpwHE3eA9hTs4n
spotify:track:2BtXdx9jEpvoG0uaVZ15ed,spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh
spotify:track:2BtXdx9jEpvoG0uaVZ15ed,spotify:artist:73tITL3u5T35u309PLpN6K
spotify:track:58aFuwvAc3kcFUEBz7DrsO,spotify:artist:2oX42qP5ineK3hrhBECLmj
spotify:track:2yzsCm9n8lbpPvntMGLc33,spotify:artist:7p0BlEIc8u88hMrzTfWQhi
spotify:track:2yzsCm9n8lbpPvntMGLc33,spotify:artist:6EzGm3fYBR8QcdIZ0xvHsl
spotify:track:2yzsCm9n8lbpPvntMGLc33,spotify:artist:4dHGNdVhBxCJUyMk9dR727
spotify:track:1OsjZeUg7cGuiCr4E8schs,spotify:artist:5BcAKTbp20cv7tC5VqPFoC
spotify:track:1OsjZeUg7cGuiCr4E8schs,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY
spotify:track:1OsjZeUg7cGuiCr4E8schs,spotify:artist:4myTppRgh0rojLxx8RycOp
spotify:track:1OsjZeUg7cGuiCr4E8schs,spotify:artist:1anyVhU62p31KFi8MEzkbf
spotify:track:5AyF5z5CF4zRT3qY7JYjL3,spotify:artist:4faUajx9k93O56nlmpkOuz
spotify:track:1WMuQledrGuvG0sHj3ODVM,spotify:artist:5vYyEp0UDJHoqzIGIxOcqn
spotify:track:6BGEhol7XQqvFjN6HtCI3R,spotify:artist:2BQWHuvxG4kMYnfghdaCIy
spotify:track:02DoXNeIVYvONhTk1fGQrz,spotify:artist:33W1pnW9zScZtYTnAoWnOT
spotify:track:3KoXDKIbcyuzKl3bubNME9,spotify:artist:67qogtRNI0GjUr8PlaG6Zh
spotify:track:3KoXDKIbcyuzKl3bubNME9,spotify:artist:5nki7yRhxgM509M5ADlN1p
