artist_uri,genre
spotify:artist:0PGB0xsAyDqHHlvNQcgq5S,indie poptimism
spotify:artist:0PGB0xsAyDqHHlvNQcgq5S,la pop
spotify:artist:6eNOjuJSfKkAvbiGW90AkZ,french tech house
spotify:artist:6eNOjuJSfKkAvbiGW90AkZ,minimal techno
spotify:artist:6eNOjuJSfKkAvbiGW90AkZ,new french touch
spotify:artist:6eNOjuJSfKkAvbiGW90AkZ,tropical house
spotify:artist:7a8QU2xPgOH1ly5JDbkeM5,""
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,gangster rap
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,hip hop
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,pop rap
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,r&b
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,rap
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,southern hip hop
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,trap
spotify:artist:67nwj3Y5sZQLl72VNUHEYE,urban contemporary
spotify:artist:62sK16KPm7eBSUDWcINUd3,antiviral pop
spotify:artist:7dnB1wSxbYa8CejeVg98hz,album rock
spotify:artist:7dnB1wSxbYa8CejeVg98hz,classic rock
spotify:artist:7dnB1wSxbYa8CejeVg98hz,mellow gold
spotify:artist:7dnB1wSxbYa8CejeVg98hz,rock
spotify:artist:7dnB1wSxbYa8CejeVg98hz,soft rock
spotify:artist:0mFblCBw0GcoY7zY1P8tzE,baroque
spotify:artist:0mFblCBw0GcoY7zY1P8tzE,classical
spotify:artist:0mFblCBw0GcoY7zY1P8tzE,early music
spotify:artist:0mFblCBw0GcoY7zY1P8tzE,italian baroque
spotify:artist:0Adbm5kzcPUxFybf9fhjgG,soulful house
spotify:artist:3MhkCKMIDneKVKyK4Hvv0d,pop edm
spotify:artist:7JBohcnAdfcFbZbYVZpKC2,""
spotify:artist:7h7ahzbTkbAFsshWJ7fOrc,dance pop
spotify:artist:7h7ahzbTkbAFsshWJ7fOrc,deep groove house
spotify:artist:7h7ahzbTkbAFsshWJ7fOrc,house
spotify:artist:7h7ahzbTkbAFsshWJ7fOrc,pop dance
