id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1e9Ha71cRwZs9039dgLfr1,0.764,0.859,10.0,-5.163,0.0,0.0525,0.0659,9.19e-05,0.124,0.371,126.043,audio_features,spotify:track:1e9Ha71cRwZs9039dgLfr1,https://api.spotify.com/v1/tracks/1e9Ha71cRwZs9039dgLfr1,https://api.spotify.com/v1/audio-analysis/1e9Ha71cRwZs9039dgLfr1,219048.0,4.0
6jreFSOTUAViWjKyzOC4Kg,0.601,0.775,0.0,-4.612,1.0,0.0473,0.269,0.0,0.0883,0.483,119.964,audio_features,spotify:track:6jreFSOTUAViWjKyzOC4Kg,https://api.spotify.com/v1/tracks/6jreFSOTUAViWjKyzOC4Kg,https://api.spotify.com/v1/audio-analysis/6jreFSOTUAViWjKyzOC4Kg,190295.0,4.0
0Ig58yJSlVBCZjW12RTqCJ,0.709,0.69,5.0,-9.05,0.0,0.0383,0.156,0.000719,0.114,0.296,104.969,audio_features,spotify:track:0Ig58yJSlVBCZjW12RTqCJ,https://api.spotify.com/v1/tracks/0Ig58yJSlVBCZjW12RTqCJ,https://api.spotify.com/v1/audio-analysis/0Ig58yJSlVBCZjW12RTqCJ,210286.0,4.0
6pQnvE2E9udUhrNdhNpLuK,0.395,0.175,5.0,-17.007,1.0,0.0346,0.989,0.885,0.0909,0.0696,100.597,audio_features,spotify:track:6pQnvE2E9udUhrNdhNpLuK,https://api.spotify.com/v1/tracks/6pQnvE2E9udUhrNdhNpLuK,https://api.spotify.com/v1/audio-analysis/6pQnvE2E9udUhrNdhNpLuK,272051.0,1.0
0GKjpxNcMAfqq1DyQQpfWM,0.431,0.823,3.0,-8.045,0.0,0.035,0.0849,0.000105,0.0812,0.802,175.03,audio_features,spotify:track:0GKjpxNcMAfqq1DyQQpfWM,https://api.spotify.com/v1/tracks/0GKjpxNcMAfqq1DyQQpfWM,https://api.spotify.com/v1/audio-analysis/0GKjpxNcMAfqq1DyQQpfWM,182173.0,4.0
3Boy5BDtBoYpTuEzAEhcx0,0.442,0.393,9.0,-6.427,0.0,0.0268,0.827,7.86e-05,0.0853,0.24,100.029,audio_features,spotify:track:3Boy5BDtBoYpTuEzAEhcx0,https://api.spotify.com/v1/tracks/3Boy5BDtBoYpTuEzAEhcx0,https://api.spotify.com/v1/audio-analysis/3Boy5BDtBoYpTuEzAEhcx0,332292.0,4.0
4RdRa3qq0GBSKjomxrkh5K,0.684,0.858,1.0,-4.266,1.0,0.0342,0.00694,0.000167,0.0828,0.518,129.963,audio_features,spotify:track:4RdRa3qq0GBSKjomxrkh5K,https://api.spotify.com/v1/tracks/4RdRa3qq0GBSKjomxrkh5K,https://api.spotify.com/v1/audio-analysis/4RdRa3qq0GBSKjomxrkh5K,273336.0,4.0
12MZAQLHOCJaohl3PsVWIK,0.699,0.785,0.0,-3.972,1.0,0.0302,0.419,0.0,0.159,0.388,103.019,audio_features,spotify:track:12MZAQLHOCJaohl3PsVWIK,https://api.spotify.com/v1/tracks/12MZAQLHOCJaohl3PsVWIK,https://api.spotify.com/v1/audio-analysis/12MZAQLHOCJaohl3PsVWIK,286082.0,4.0
76cy1WJvNGJTj78UqeA5zr,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.028,audio_features,spotify:track:76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,217947.0,4.0
1GakwODaE19qBffBx6COXX,0.683,0.703,5.0,-7.613,0.0,0.0347,0.041,0.0036,0.373,0.26,122.015,audio_features,spotify:track:1GakwODaE19qBffBx6COXX,https://api.spotify.com/v1/tracks/1GakwODaE19qBffBx6COXX,https://api.spotify.com/v1/audio-analysis/1GakwODaE19qBffBx6COXX,275493.0,4.0
61hxvsSGZOmFpqjvX0iHJE,0.721,0.664,10.0,-4.906,1.0,0.0557,0.504,0.0,0.0958,0.682,124.953,audio_features,spotify:track:61hxvsSGZOmFpqjvX0iHJE,https://api.spotify.com/v1/tracks/61hxvsSGZOmFpqjvX0iHJE,https://api.spotify.com/v1/audio-analysis/61hxvsSGZOmFpqjvX0iHJE,191840.0,4.0
5b7OgznPJJr1vHNYGyvxau,0.668,0.26,7.0,-14.256,1.0,0.0523,0.453,0.0,0.0621,0.368,119.416,audio_features,spotify:track:5b7OgznPJJr1vHNYGyvxau,https://api.spotify.com/v1/tracks/5b7OgznPJJr1vHNYGyvxau,https://api.spotify.com/v1/audio-analysis/5b7OgznPJJr1vHNYGyvxau,147000.0,4.0
2XtxcDeJKfsW5J2gSOAVb9,0.758,0.946,11.0,-4.263,1.0,0.059,0.00129,0.0664,0.0784,0.821,126.016,audio_features,spotify:track:2XtxcDeJKfsW5J2gSOAVb9,https://api.spotify.com/v1/tracks/2XtxcDeJKfsW5J2gSOAVb9,https://api.spotify.com/v1/audio-analysis/2XtxcDeJKfsW5J2gSOAVb9,171253.0,4.0
0qNjZp5uhw1JGLIT7nKSc3,0.61,0.809,5.0,-7.039,0.0,0.0346,0.0038,0.899,0.105,0.434,130.028,audio_features,spotify:track:0qNjZp5uhw1JGLIT7nKSc3,https://api.spotify.com/v1/tracks/0qNjZp5uhw1JGLIT7nKSc3,https://api.spotify.com/v1/audio-analysis/0qNjZp5uhw1JGLIT7nKSc3,311021.0,4.0
0OVtUwbHV45qCaX45HiOTL,0.784,0.593,7.0,-6.591,1.0,0.0385,0.33,0.0,0.177,0.644,119.985,audio_features,spotify:track:0OVtUwbHV45qCaX45HiOTL,https://api.spotify.com/v1/tracks/0OVtUwbHV45qCaX45HiOTL,https://api.spotify.com/v1/audio-analysis/0OVtUwbHV45qCaX45HiOTL,167500.0,4.0
341ShRaeysVdxLetlI391K,0.633,0.669,1.0,-8.124,0.0,0.0483,0.0937,0.82,0.108,0.0381,99.987,audio_features,spotify:track:341ShRaeysVdxLetlI391K,https://api.spotify.com/v1/tracks/341ShRaeysVdxLetlI391K,https://api.spotify.com/v1/audio-analysis/341ShRaeysVdxLetlI391K,355200.0,4.0
1BVaFm81pajrI3Q6IMBpbd,0.583,0.93,11.0,-4.389,0.0,0.0491,0.0024,0.00172,0.0926,0.58,126.119,audio_features,spotify:track:1BVaFm81pajrI3Q6IMBpbd,https://api.spotify.com/v1/tracks/1BVaFm81pajrI3Q6IMBpbd,https://api.spotify.com/v1/audio-analysis/1BVaFm81pajrI3Q6IMBpbd,217973.0,4.0
5oC2YPQIqX97JoZnv923ju,0.683,0.2,1.0,-18.792,0.0,0.876,0.947,0.0,0.367,0.716,101.389,audio_features,spotify:track:5oC2YPQIqX97JoZnv923ju,https://api.spotify.com/v1/tracks/5oC2YPQIqX97JoZnv923ju,https://api.spotify.com/v1/audio-analysis/5oC2YPQIqX97JoZnv923ju,193767.0,3.0
3UyZtf5BzjEYFJkIiIipoH,0.429,0.915,5.0,-4.182,0.0,0.167,0.00147,0.0768,0.152,0.147,128.031,audio_features,spotify:track:3UyZtf5BzjEYFJkIiIipoH,https://api.spotify.com/v1/tracks/3UyZtf5BzjEYFJkIiIipoH,https://api.spotify.com/v1/audio-analysis/3UyZtf5BzjEYFJkIiIipoH,300538.0,4.0
