id,genres,name,popularity,type,uri,total_followers
07tnQRce7zhfCdMw07pzGH,"",Yurrit,18,artist,spotify:artist:07tnQRce7zhfCdMw07pzGH,1242
2YdRnOqBXCl9g8xCLcGh8C,classical performance;russian classical piano,Mikhail Pletnev,60,artist,spotify:artist:2YdRnOqBXCl9g8xCLcGh8C,16122
0QAS7N8bEHjfq8QEcDXvyd,australian r&b,ALPHAMAMA,23,artist,spotify:artist:0QAS7N8bEHjfq8QEcDXvyd,1626
6V0UIhxibbgh9q9eYKImW7,"",FRANKIE,23,artist,spotify:artist:6V0UIhxibbgh9q9eYKImW7,12895
3A9B6c1CrSPauiOblw7pWz,german pop,Nico Santos,62,artist,spotify:artist:3A9B6c1CrSPauiOblw7pWz,624699
77oIc9PKdd3TdbqfGsi0Jx,"",Scott AF,4,artist,spotify:artist:77oIc9PKdd3TdbqfGsi0Jx,2225
4GwCanrqEtG8SVYYY21rH5,"",Princess Precious,33,artist,spotify:artist:4GwCanrqEtG8SVYYY21rH5,418
6KZDXtSj0SzGOV705nNeh3,dance pop;pop rap;rap;southern hip hop;trap,Kid Ink,68,artist,spotify:artist:6KZDXtSj0SzGOV705nNeh3,2920317
7rEoWSmtfAdSxqZZceghya,"",Kid Swift,5,artist,spotify:artist:7rEoWSmtfAdSxqZZceghya,329
1rAv1GhTQ2rmG94p9lU3rB,indie rock,Julian Casablancas,60,artist,spotify:artist:1rAv1GhTQ2rmG94p9lU3rB,467578
7K1v3zQdCvnxHvelcbTcZ0,europop,Billie,21,artist,spotify:artist:7K1v3zQdCvnxHvelcbTcZ0,1280
6JtWu7EQUhFCLNZU92kq1o,electro house,Schoolboy,23,artist,spotify:artist:6JtWu7EQUhFCLNZU92kq1o,10182
50hiYMhi0g77BOkkQ4zebB,classical;classical cello;classical performance,Mstislav Rostropovich,51,artist,spotify:artist:50hiYMhi0g77BOkkQ4zebB,54307
64M6ah0SkkRsnPGtGiRAbb,dance pop;edm;pop;post-teen pop,Bebe Rexha,84,artist,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,7787960
3exgfhlQ9X7SmQtGLcqfAv,"",Steffi Nguyen,0,artist,spotify:artist:3exgfhlQ9X7SmQtGLcqfAv,6
7gcCQIlkkfbul5Mt0jBQkg,new wave pop;rock keyboard,Dave Stewart,68,artist,spotify:artist:7gcCQIlkkfbul5Mt0jBQkg,25363
0DCRUk25XIiRFiNtiuR8OR,"",Olivia Sebastianelli,39,artist,spotify:artist:0DCRUk25XIiRFiNtiuR8OR,1288
1p6CdzJRoicjRcSdWoB9Qc,contemporary country;country;country road;heartland rock,Mitchell Tenpenny,67,artist,spotify:artist:1p6CdzJRoicjRcSdWoB9Qc,364200
7dPE07dAqbgWkJEdewUJDC,"",Venessa Michaels,23,artist,spotify:artist:7dPE07dAqbgWkJEdewUJDC,2251
4L4JDgbcKHiYJ6kI1QBt7q,"",Slippery Squid,19,artist,spotify:artist:4L4JDgbcKHiYJ6kI1QBt7q,108
5OFAulDhepmMEGFHv8cVKH,"",Wildfire,27,artist,spotify:artist:5OFAulDhepmMEGFHv8cVKH,1037
53M4Iv2RkzzxFFvW2B1jhC,electropowerpop;neon pop punk;pop dance;pop punk;screamo;trancecore,Breathe Carolina,56,artist,spotify:artist:53M4Iv2RkzzxFFvW2B1jhC,352052
3rjHIPFed2qITXAWvArRtp,norwegian pop,Iselin,46,artist,spotify:artist:3rjHIPFed2qITXAWvArRtp,5615
3oMyZEP3j8UThGFd88f6aG,"",Chupapi,14,artist,spotify:artist:3oMyZEP3j8UThGFd88f6aG,657
77tT1kLj6mCWtFNqiOmP9H,album rock;classic rock;mellow gold;rock;soft rock;yacht rock,Daryl Hall & John Oates,74,artist,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,1971260
5stK6mv8dlKYQmZIvr8N6D,"",Rylands Heath,13,artist,spotify:artist:5stK6mv8dlKYQmZIvr8N6D,551
0PGB0xsAyDqHHlvNQcgq5S,indie poptimism;la pop,POWERS,46,artist,spotify:artist:0PGB0xsAyDqHHlvNQcgq5S,49359
6eNOjuJSfKkAvbiGW90AkZ,french tech house;minimal techno;new french touch;tropical house,Joachim Pastor,53,artist,spotify:artist:6eNOjuJSfKkAvbiGW90AkZ,113073
7a8QU2xPgOH1ly5JDbkeM5,"",Nothing In Common,32,artist,spotify:artist:7a8QU2xPgOH1ly5JDbkeM5,294
67nwj3Y5sZQLl72VNUHEYE,gangster rap;hip hop;pop rap;r&b;rap;southern hip hop;trap;urban contemporary,Wale,71,artist,spotify:artist:67nwj3Y5sZQLl72VNUHEYE,3880001
62sK16KPm7eBSUDWcINUd3,antiviral pop,EpicLLOYD,35,artist,spotify:artist:62sK16KPm7eBSUDWcINUd3,8179
7dnB1wSxbYa8CejeVg98hz,album rock;classic rock;mellow gold;rock;soft rock,Meat Loaf,63,artist,spotify:artist:7dnB1wSxbYa8CejeVg98hz,957769
0mFblCBw0GcoY7zY1P8tzE,baroque;classical;early music;italian baroque,Domenico Scarlatti,50,artist,spotify:artist:0mFblCBw0GcoY7zY1P8tzE,132887
0Adbm5kzcPUxFybf9fhjgG,soulful house,Coco & Breezy,49,artist,spotify:artist:0Adbm5kzcPUxFybf9fhjgG,6347
3MhkCKMIDneKVKyK4Hvv0d,pop edm,Kbubs,32,artist,spotify:artist:3MhkCKMIDneKVKyK4Hvv0d,2097
7JBohcnAdfcFbZbYVZpKC2,"",Lune,31,artist,spotify:artist:7JBohcnAdfcFbZbYVZpKC2,8270
7h7ahzbTkbAFsshWJ7fOrc,dance pop;deep groove house;house;pop dance;tropical house;uk dance,Anton Powers,52,artist,spotify:artist:7h7ahzbTkbAFsshWJ7fOrc,54549
5awr081A7WGq4ZdmNNTQKD,"",MACKandgold,25,artist,spotify:artist:5awr081A7WGq4ZdmNNTQKD,4524
2wsXaFHhSBcPMFkqBf0ofr,australian hip hop;australian indigenous hip hop;australian underground hip hop,Spit Syndicate,33,artist,spotify:artist:2wsXaFHhSBcPMFkqBf0ofr,29682
1QJ4iU6xJtdrk6HSPUTQ98,pop edm,Big Z,33,artist,spotify:artist:1QJ4iU6xJtdrk6HSPUTQ98,9863
7bXgB6jMjp9ATFy66eO08Z,dance pop;r&b,Chris Brown,89,artist,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,17827419
03MVmfitJTVJIxYmObhQn9,dutch edm;edm;electro house;pop dance;progressive electro house;progressive house,Dyro,53,artist,spotify:artist:03MVmfitJTVJIxYmObhQn9,202682
3pJlam8yODJN1AEzmTVGko,traprun,TWERL,40,artist,spotify:artist:3pJlam8yODJN1AEzmTVGko,12767
0AJUYWKztkg5dnrHDIBv47,"",MiC LOWRY,40,artist,spotify:artist:0AJUYWKztkg5dnrHDIBv47,48379
2QlwnS23KrBeshXFyK5U6M,deep tropical house;electro house;pop dance;pop edm;tropical house,LVNDSCAPE,52,artist,spotify:artist:2QlwnS23KrBeshXFyK5U6M,145609
7ohlPA8dRBtCf92zaZCaaB,australian rock;mellow gold;permanent wave;pop rock;rock;soft rock,Crowded House,65,artist,spotify:artist:7ohlPA8dRBtCf92zaZCaaB,710234
2O2dI9lY9PnWtAa4OlrgMi,underground hip hop,Pell,50,artist,spotify:artist:2O2dI9lY9PnWtAa4OlrgMi,92621
0U73YuFQknGYuwpQjqobP3,deep pop edm,Ruby Rose,13,artist,spotify:artist:0U73YuFQknGYuwpQjqobP3,28758
6cK3NBO6uP7hh0oyuVELFl,cali rap;dance pop;pop;rap;trap queen,Saweetie,73,artist,spotify:artist:6cK3NBO6uP7hh0oyuVELFl,1708480
0noF2OIkgZeUFglAffOQq9,"",Namuli,2,artist,spotify:artist:0noF2OIkgZeUFglAffOQq9,12
